data_hora,n_blumenau,c_blumenau,n_apiuna,c_apiuna,n_ibirama,c_ibirama,c_indaial,c_ituporanga,c_pouso_redondo,c_rio_do_oeste,n_rio_do_sul,c_rio_do_sul,n_taio,c_taio,c_timbo,n_blumenau_3,n_blumenau_6,n_blumenau_9,numero_evento
2009-01-19 04:15:00,1.743,0.000,0.829,0.000,1.638,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.742,1.896,2.139,1
2009-01-19 04:30:00,1.740,0.000,0.829,0.000,1.645,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.746,1.932,2.148,1
2009-01-19 04:45:00,1.736,0.000,0.827,0.000,1.649,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.751,1.968,2.157,1
2009-01-19 05:00:00,1.733,0.000,0.830,0.000,1.651,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.755,2.004,2.166,1
2009-01-19 05:15:00,1.735,0.000,0.829,0.000,1.645,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.767,2.026,2.176,1
2009-01-19 05:30:00,1.738,0.000,0.832,0.000,1.643,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.778,2.048,2.186,1
2009-01-19 05:45:00,1.740,0.000,0.830,0.000,1.641,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.790,2.070,2.196,1
2009-01-19 06:00:00,1.742,0.000,0.832,0.000,1.641,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.802,2.092,2.206,1
2009-01-19 06:15:00,1.741,0.000,0.832,0.000,1.632,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.817,2.102,2.209,1
2009-01-19 06:30:00,1.740,0.000,0.831,0.000,1.622,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.831,2.111,2.212,1
2009-01-19 06:45:00,1.739,0.000,0.832,0.000,1.630,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.846,2.120,2.215,1
2009-01-19 07:00:00,1.738,0.000,0.834,0.000,1.635,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.860,2.130,2.218,1
2009-01-19 07:15:00,1.742,0.000,0.833,0.000,1.643,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,1.896,2.139,2.221,1
2009-01-19 07:30:00,1.746,0.000,0.834,0.000,1.650,0.000,0.000,0.000,0.200,0.000,5.523,0.000,5.823,0.000,0.000,1.932,2.148,2.224,1
2009-01-19 07:45:00,1.751,0.000,0.834,0.000,1.641,0.000,0.000,0.000,0.400,0.000,5.523,0.000,5.823,0.000,0.000,1.968,2.157,2.226,1
2009-01-19 08:00:00,1.755,0.000,0.834,0.000,1.645,0.000,0.000,0.000,0.300,0.000,5.523,0.000,5.823,0.000,0.000,2.004,2.166,2.229,1
2009-01-19 08:15:00,1.767,0.000,0.832,0.000,1.639,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,2.026,2.176,2.231,1
2009-01-19 08:30:00,1.778,0.000,0.833,0.000,1.641,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,2.048,2.186,2.233,1
2009-01-19 08:45:00,1.790,0.000,0.830,0.000,1.641,0.000,0.000,0.000,0.000,0.000,5.523,0.000,5.823,0.000,0.000,2.070,2.196,2.235,1
